Library_ID	Sanguinis	Mitis	Salivarius	Anginosus	Bovis	Pyogenic	Mutans	Downei	Other	Unknown	Genus_other	Streptococcus	Sanguinis_tot	Anginosus_tot
MID040.A0101	40.3638908327502	15.6613016095171	0.321903428971309	35.6566363424306	0.704455330067646	3.41031024026126	0.363890832750175	0.144623279682762	2.32330300909727	1.04968509447166	0.993528065184434	0.00647193481556647	0.00271293025994911	0.00240820919750243
ECO004.C0101	40.1217256399547	2.84921534697774	0.0895041470254789	53.2430335938899	0.2804463273465	1.38731427889492	0.277462855778984	0.134256220538218	0.978578674145235	0.638462915448416	0.969008763096794	0.0309912369032065	0.0125349380333602	0.0166016288030447
HCLVMBCX2-3505-05-00-01_S5	40.0255346313438	6.12831152250239	0.0957548675390999	51.3246090009575	0.0319182891797	0.957548675390999	0.1595914458985	0.0957548675390999	0.861793807851899	0.319182891797	0.993653065320114	0.00634693467988624	0.00264200696923442	0.00335960702275035
CS21	39.2497745716862	34.7051397655546	0.274120829576195	17.799819657349	0.732191163210099	2.36248872858431	0.36429215509468	0.411181244364292	3.19567177637511	0.905320108205591	0.995849735039285	0.00415026496071453	0.00172967207229981	0.000839058231648555
ERR5729654	39.0721275824574	10.0277878458379	0.302041802585478	37.0907333574967	1.41355563610004	5.77503926543434	0.990697112480367	0.27787845837864	3.69699166364625	1.35314727558294	0.998915894932336	0.00108410506766388	0.000523685180687188	0.000502199599477324
LIS002.A0101	38.5768628328485	11.4678899082569	0.179010964421571	40.0760796598792	0.771984784068024	4.13962855224883	0.290892817185053	0.313269187737749	3.00962183933766	1.17475945401656	0.996144172975809	0.00385582702419051	0.00158795460184915	0.00164578114380037
MID076.A0101	38.2499425331392	40.4719944831814	0.375450157076086	11.4244119224581	1.01907899777795	4.79656731284959	0.321814420350931	0.252854187418589	1.64738334227262	1.4405026434756	0.994975178243284	0.00502482175671559	0.00202272435250563	0.000674275242304866
CS48	38.1043014845832	36.7719832508565	0.609059763989342	17.4343357441949	0.532927293490674	2.96916634944804	0.456794822992006	0.266463646745337	2.09364293871336	0.761324704986677	0.988232182403414	0.0117678175965858	0.00458742087614539	0.00215318557569889
GDN001.A0101	38.0406001765225	26.3018534863195	3.17740511915269	1.58870255957635	2.47131509267432	17.7405119152692	3.61871138570168	0.353045013239188	4.14827890556046	2.55957634598411	0.999630580741421	0.000369419258579135	0.000240529303131162	0.000105868973216615
CS03	36.7650249511825	14.1679323063571	0.683445432848774	25.2983293556086	3.18941201996095	8.38576697765242	0.336298546322413	1.57300932957258	6.53070080277718	3.07008027771751	0.997554023388706	0.00244597661129406	0.000999361238565586	0.000718858190715535
CS37	36.0409742546753	24.1331415248772	0.419167617441341	24.6068753410387	2.02142963440647	5.65008184929808	1.43112257552458	0.754005655042413	4.01805645121286	0.92514509648296	0.993640631278133	0.00635936872186726	0.00239322181014756	0.00166569083879113
KT17calc	36.0349854227405	39.2419825072886	0.116618075801749	17.9591836734694	0.408163265306122	2.4198250728863	0.349854227405248	0.262390670553936	1.77842565597668	1.42857142857143	0.996890677565622	0.00310932243437815	0.00122109555344116	0.000658733706245754
CS47	36.0105804807265	38.4093939247908	0.660744595976633	18.7503681214828	0.674666281143078	2.72222489946937	0.290213590777419	0.161170278273069	1.49765205425174	0.822985773108659	0.985844785520127	0.0141552144798735	0.00519882832256486	0.00275491160542394
ERR5729655	34.9892573563755	12.7136851938347	0.130780009341429	45.1097617935544	0.687529191966371	3.11069593647828	0.332554880896777	0.171882297991593	1.96543671181691	0.788416627744045	0.992321609649587	0.00767839035041337	0.00278725942298537	0.00356453859290803
KT03calc	34.2140618002687	23.6901030004478	0.403045230631438	32.0197044334975	0.761307657859382	1.11957008508733	5.32915360501567	0.223914017017465	1.43304970891178	0.806090461262875	0.998527326602934	0.00147267339706561	0.00060408679794037	0.000571756623726917
DLV001.A0101	33.5252719129878	50.9490296438473	10.6419279164001	0.191938579654511	0.106632544252506	0.405203668159522	0.490509703561527	0.36255065045852	0.511836212412028	2.81509916826616	0.974095496958748	0.0259045030412516	0.00878455508228782	0.000149720735203938
ERR5729652	33.0960090926637	7.85528939975553	0.111513799832729	55.1156955673265	0.452488687782806	1.02721365615149	0.278784499581823	0.141536745941541	1.3488880787459	0.572580472218052	0.993715070808072	0.00628492919192766	0.00218041540906658	0.00356457308549344
CDM051.U0101	32.6555286876237	8.18861288195208	0.351725653989888	46.7575291272807	1.36293690921082	6.16619037151022	0.340734227302704	0.208837107056496	2.78083095185755	1.18707408221587	0.997000250391505	0.00299974960849523	0.00108012112462878	0.00150337773953916
