Secondary_sample_accession,Classified,Unclassified
CMB004.A0101,2883997,4354012
MTK001.A0101,1738525,6516257
MID043.A0101,4187330,3377541
SIG031.A0101,4386113,6981668
AMH004.A0101,3829737,6275374
MID102.A0101,4437707,5572916
CMC016.A0101.SG1,3825659,1191615
MTM011.A0101,813819,3856728
SRR17523817,44674,187
MID076.A0101,2951011,5326310
SRS475660,989952,198801
SRR1930141,46631587,14954609
SRS055378,36764973,10373540
TAF018.A0101,2301628,5376517
NMU115.A0101,4213780,5990801
MID064.A0101,4431438,5408153
MID030.A0101,3731361,6361548
CDM042.G0101.SG1,3445234,6914768
ERR5729637,7994228,19984559
SRR11176628,8248686,3070183
CDM046.N0101.SG1,3396493,4973531
CMC011.B0101.SG1,10802990,4452751
ABM008.A0101,529178,4485351
EBO003.A0101,2669484,17795997
SRR17524357,41188,207
ERR5729645,7584860,16007841
SRS476311,101605,42699
SRR1930145,23373173,8920534
SRS024289,25645682,3752196
SRR11176631,5714309,5819827
2082,6657025,11229968
CMB007.A0101,2769378,4090827
KT05calc,1602728,2841303
OAK002.A0101,3283759,10674037
NMU125.A0101,4601881,6007784
CMC008.A0101.SG1,8318491,2453706
KNP004.A0102,49922,134232
Gb1-reg,5653833,4143125
SRR17523902,51981,154
MID060.A0101,4004357,4166970
SRS475584,90042,34081
ERS9656265,859197,5071476
SRR1631063,23924496,10720948
SRS051244,25475526,6046182
CS28,3582223,8854019
ECO004.B0101,1855585,8770151
CDC005.A0101,841995,3678857
CDM042.Q0101.SG1,3885238,5658079
CDC005.A0101,841995,3678857
CDM048.P0101.SG1,3704349,5693248
CMB003.A0101,3732543,4429939
CDM050.Z0101.SG1,4804885,5583601
AON002.A0101,3353091,6153089
MTS002.A0101,1542453,4905537
CMC008.B0201.SG1,10010510,2848915
29C,2363766,4804719
SRR17524591,21766,108
SA-002,3435179,8604478
SRS476027,249063,82093
SRS023964,26408202,5075591
VLC004.A0101,30254300,12917036
SRS014107,5625508,1469217
SRS058105,13883255,939874
SRR1646044,448125,350173
CMC018.A0101.SG1,8998525,2833612
ERR1474583,9828371,5048554
OME005.A0101,2185424,7268087
14C,2778152,6433064
BB08,3094894,8623276
IBA002.A0101,10436081,8543121
SRR17523999,36798,149
MID055.A0101,5376016,6323338
SRS475547,107805,52847
ERS9656255,1727264,7542693
SRR059389,69623150,6198801
SRS016200,38121609,6114046
JAE006.A0101,70923481,16761664
CDM051.R0101.SG1,3981385,8006281
MTS002.A0101,1542453,4905537
MID040.A0101,3901050,5148881
ERR5729619,9601839,32899930
ERR5729632,13575916,35259939
TON006.B0101,1844999,7686462
CS24,2478304,4200683
CDM048.S0101.SG1,1890920,4635976
CMC035.A0201.SG1,11674442,3314528
KNP005.A0102,2899052,8162359
SRR17524094,50010,182
SRS475957,28196,31321
SRR3189418,14262749,2403293
SRS017025,20803872,2349373
MAWB5,2802953,5834205
ERR5729659,46017,68606
CMB005.A0101,3944295,3620775
NMU122.A0101,4095056,7809171
JAE015.A0101,39582475,17776533
ABM006.A0101,1615475,6406568
ERR5729641,11758493,19673613
EFE005.B0101,4458621,6945179
MTM010.A0101,2161267,6939656
SRR5297131,546437,1716757
JAE008.A0101,47419693,17659099
ABM006.A0101,1615475,6406568
CMC004.A0101.SG1,10008834,4489934
SRR17524370,39860,305
SRS015055,3764304,996790
ERS9656259,2657547,12603177
ERR1883424,216191,655770
SRS015440,44007877,6472364
ERR5729630,3674642,14901112
SRR6877310,3172003,3163290
MTM010.A0101,2161267,6939656
MID037.A0101,5699758,5013317
MID101.A0101,5339823,4437172
FUM002.A0101,3807057,13289499
MID083.A0101,4859038,5307551
CS38,5559807,8658384
KT35calc,1644439,2617689
CMC012.A0201.SG1,9015796,2517693
21C,1761652,4608089
SRR17524537,43998,175
CDM052.M0101.SG1,4118433,6118250
SRS476081,51482,27231
SRR3184876,35907289,4562853
SRS022725,71728499,27186790
CDC007.A0101,2498758,13312853
ERR5729618,6606327,31072130
SRR13263123,37028419,35629453
KT04calc,1768563,2713124
CS14,745130,838236
KT26calc,2183264,3539087
CDC007.A0101,2498758,13312853
CDM046.H0101.SG1,3422428,6787865
NMU126.A0101,4120702,6479336
CMC038.A0101.SG1,8617121,4703124
04C,629423,1771501
SRR17524346,50746,139
HCLVMBCX2-3505-02-00-01_S2,1200903,3160908
SRS476087,50510,23979
ERS9656249,1247306,3906468
SRR059425,56516606,8661133
ERR5729656,7299604,17275456
CDM042.E0101.SG1,5199894,4932361
EFE002.B0101,3242062,7999160
SA-003,4398475,6436553
TAF017.C0101,515773,4944113
HCLVMBCX2-3505-03-00-01_S3,1190021,4315866
CDM045.H0101.SG1,4310462,6613725
