Library_ID	Clade	Percent
SRS013836	Sanguinis	49.190943186353
SRS055450	Sanguinis	49.1825534430694
SRS058808	Sanguinis	48.9016227124095
SRS015064	Sanguinis	48.4658786506876
SRS019591	Sanguinis	48.0042515253286
SRS021960	Sanguinis	47.976144519657
SRS024355	Mitis	49.6849603613328
SRS016575	Sanguinis	47.0636442874324
SRS019387	Mitis	48.6649792490812
SRS020340	Mitis	47.4891314181919
SRS019129	Sanguinis	46.5629511188454
SRS016200	Mitis	46.8740881593079
SRS015803	Mitis	51.4548785438825
SRS017025	Mitis	50.7675253739451
SRS016746	Mitis	46.831125026759
SRS065310	Mitis	49.7311269458904
SRS015989	Mitis	53.0971778524389
SRS018573	Mitis	48.9578269761234
SRS022536	Mitis	52.2640825067612
SRS049318	Mitis	52.2504227846134
SRS015278	Mitis	51.0106371518265
SRS016541	Mitis	50.7594330762697
SRS019128	Mitis	54.5432212287359
SRS016360	Mitis	56.1318595110202
SRS023358	Mitis	55.6214080011968
SRS047113	Mitis	55.2466665845881
SRS013170	Mitis	57.2082350399778
SRS058053	Mitis	58.3178867242009
SRS052604	Mitis	58.7066178475441
SRS014476	Mitis	54.7559030555514
SRS051941	Mitis	58.9526416643854
SRS064219	Mitis	57.6195254820443
SRS045313	Mitis	56.9277571098348
SRS014107	Mitis	59.7109346139638
SRS063215	Sanguinis	36.4498501407769
SRS017139	Mitis	60.6420558268712
SRS047100	Mitis	58.1388396337128
SRS013949	Mitis	61.446101619999
SRS017691	Mitis	58.44483800943
SRS024289	Mitis	56.8569924237393
SRS015755	Mitis	61.5012040652508
SRS022725	Mitis	63.9409087876894
SRS044366	Mitis	60.1970646876731
SRS047265	Mitis	63.6243365368935
SRS055378	Mitis	63.5547744059802
SRS024649	Mitis	46.4997284318418
SRS043772	Mitis	58.7672374166858
SRS049268	Mitis	65.0551248789531
SRS064493	Mitis	64.6581647943344
SRS051378	Mitis	64.9823439173348
SRS013252	Mitis	63.0304153929511
SRS024144	Mitis	51.8569551627148
