Library_ID	Total
CMC022.A0101	34515
CMC022.B0101	37979
CMC023.A0301	38278
CMC023.B0201	30656
CMC024.A0101	37489
CMC024.B0101	36067
CMC025.A0201	37297
CMC025.B0201	33591
CMC026.A0101	32566
CMC026.B0101	33752
CMC027.A0201	37214
CMC027.B0201	35573
CMC028.A0101	37967
CMC028.B0101	34246
CMC029.A0201	33481
CMC029.B0201	27780
CMC030.A0101	36310
CMC030.B0101	32266
CMC031.A0201	24919
CMC031.B0201	24215
CMC032.A0101	18068
CMC033.A0201	32509
CMC033.B0201	33399
CMC034.A0101	31127
CMC034.B0101	29175
CMC035.A0201	34995
CMC035.B0201	32825
CMC036.A0101	35736
CMC036.B0101	28994
CMC037.A0201	35346
CMC037.B0201	17620
CMC038.A0101	39325
CMC038.B0101	38506
CMC039.B0201	31786
CMC040.B0101	36211
CMC041.A0201	37197
CMC042.A0201	30239
CMC042.B0101	30840
CMC043.A0101	23204
CMC043.B0101	23001
CMC044.A0201	25200
CMC045.A0201	30983
CMC045.B0201	34690
CMC046.B0201	30712
CMC047.A0201	15999
SRR1646030	6273
SRR1646031	17742
SRR1646032	2304
SRR1646033	8888
SRR1646038	7280
SRR1646039	5642
SRR1646040	14585
SRR1646041	526
SRR1646042	9679
SRR1646043	5111
SRR1646044	8003
SRR1646045	3167
SRR1646046	12686
SRR1646047	3869
ERR1474564	23895
ERR1474565	31349
ERR1474566	34164
ERR1474567	30265
ERR1474568	37185
ERR1474569	30484
ERR1474570	30443
ERR1474571	32765
ERR1474572	15585
ERR1474573	11092
ERR1474574	13715
ERR1474575	24123
ERR1474576	14755
ERR1474577	21848
ERR1474578	15839
ERR1474579	24425
ERR1474580	41985
ERR1474581	20199
ERR1474582	32460
ERR1474583	35299
ERR1474584	28652
ERR1474585	34570
ERR1474586	33680
ERR1474587	37828
2081	31857
2082	37797
2083	36357
2084	36704
2086	35596
2087	31964
2089	38649
2090	34793
2091	39035
2092	36061
2093	38640
2094	37395
2095	39972
2096	40314
2097	39738
2099	35217
2100	12867
2102	31573
2103	37143
2104	39889
Abusir1504c	20999
Abusir1511c	27228
Abusir1519c	44822
Abusir1574c	10207
Abusir1594c	43335
AHK001.A0101	27155
AKI001.A0101	29036
AKI002.A0101	29281
AMH001.A0101	28451
AMH002.A0101	28260
AMH003.A0101	30478
AMH004.A0101	26360
ANK001.A0101	26463
ANN001.A0101	25181
ANN002.A0101	27131
ANN003.A0101	28185
ANN004.A0101	27014
AON001.A0101	32647
AON002.A0101	29321
ARB001.B0101	33181
ARB002.A0101	29180
ARB002.B0101	36217
ARB004.B0101	36938
ARB006.A0101	30075
ATT001.A0101	31122
ATT002.A0101	30780
B61	36497
BAN001.A0101	12443
BAN001.A0102	5021
BAR007.A0101	33331
BAR007.B0101	23144
BAR007.C0101	28627
BAR007.D0101	30701
BAR007.E0101	25191
BAR007.F0101	26239
BSQ001.A0101	25707
CBO001.A0101	33846
CBO002.A0101	31507
CBO003.A0101	28980
CBO007.A0101	35922
CBO008.A0101	29493
CBO011.A0101	34446
CBR001.C0101	24854
CBR002.C0101	32496
CBR006.B0101	24040
CBR008.C0101	29918
CBR009.C0101	33020
CDB001.A0101	30995
CDB002.A0101	32889
CDB003.A0101	23683
CDB005.A0101	34278
CDB006.A0101	32699
CDB008.A0101	30112
CDM019.A0101	34463
CDM019.A0102	28381
CDM019.A0201	36430
CDM019.A0202	32222
CDM019.A0203	29205
CDM020.A0101	33726
CDM020.A0102	31178
CDM020.A0201	34526
CDM020.A0202	34382
CDM020.A0203	32850
CDM020.A0301	29998
CDM031.A0101	31249
CDM031.A0102	37334
CDM032.A0101	27925
CDM032.A0102	33241
CDM033.A0101	29505
CDM033.A0102	35087
CDM041.G0101	28038
CDM041.K0101	25591
CDM041.U0101	23381
CDM041.V0101	32839
CDM041.Y0101	27952
CDM042.C0101	30939
CDM042.E0101	28474
CDM042.G0101	30299
CDM042.H0101	30679
CDM042.M0101	29591
CDM042.P0101	31620
CDM042.Q0101	29765
CDM042.U0101	32855
